coin,fundingRate,premium,time
SNX,1.25e-05,-0.00032776,2024-10-25 17:00:00.023000+00:00
XRP,1.25e-05,-3.359e-05,2024-10-25 17:00:00.023000+00:00
BCH,7.25e-06,-0.00044202,2024-10-25 17:00:00.023000+00:00
APT,1.25e-05,0.0001013,2024-10-25 17:00:00.023000+00:00
AAVE,1.25e-05,0.00045276,2024-10-25 17:00:00.023000+00:00
COMP,1.25e-05,-0.00010003,2024-10-25 17:00:00.023000+00:00
MKR,1.25e-05,0.00056542,2024-10-25 17:00:00.023000+00:00
WLD,1.215e-05,-0.00040281,2024-10-25 17:00:00.023000+00:00
FXS,1.25e-05,-5.247e-05,2024-10-25 17:00:00.023000+00:00
HPOS,1.25e-05,0.0,2024-10-25 17:00:00.023000+00:00
RLB,1.25e-05,0.0,2024-10-25 17:00:00.023000+00:00
UNIBOT,0.0,0.0,2024-10-25 17:00:00.023000+00:00
YGG,1.25e-05,-6.082e-05,2024-10-25 17:00:00.023000+00:00
TRX,1.25e-05,-0.0002622,2024-10-25 17:00:00.023000+00:00
kSHIB,1.25e-05,-0.0003416,2024-10-25 17:00:00.023000+00:00
UNI,1.25e-05,0.00025306,2024-10-25 17:00:00.023000+00:00
SEI,1.25e-05,-7.083e-05,2024-10-25 17:00:00.023000+00:00
RUNE,1.25e-05,-0.0003035,2024-10-25 17:00:00.023000+00:00
OX,0.0,0.0,2024-10-25 17:00:00.023000+00:00
FRIEND,0.0,0.0,2024-10-25 17:00:00.023000+00:00
SHIA,0.0,0.0,2024-10-25 17:00:00.023000+00:00
CYBER,1.25e-05,-9.686e-05,2024-10-25 17:00:00.023000+00:00
ZRO,1.25e-05,0.00051131,2024-10-25 17:00:00.023000+00:00
BLZ,1.25e-05,-7.578e-05,2024-10-25 17:00:00.023000+00:00
DOT,1.25e-05,0.00022249,2024-10-25 17:00:00.023000+00:00
BANANA,1.25e-05,7.76e-06,2024-10-25 17:00:00.023000+00:00
TRB,1.25e-05,1.298e-05,2024-10-25 17:00:00.023000+00:00
FTT,1.25e-05,3.794e-05,2024-10-25 17:00:00.023000+00:00
LOOM,0.00010652,0.00135217,2024-10-25 17:00:00.023000+00:00
OGN,1.25e-05,-7.499e-05,2024-10-25 17:00:00.023000+00:00
RDNT,-2.205e-05,-0.00067637,2024-10-25 17:00:00.023000+00:00
ARK,1.25e-05,-6.37e-05,2024-10-25 17:00:00.023000+00:00
BNT,1.25e-05,4.122e-05,2024-10-25 17:00:00.023000+00:00
CANTO,0.0,0.0,2024-10-25 17:00:00.023000+00:00
REQ,1.25e-05,2.412e-05,2024-10-25 17:00:00.023000+00:00
BIGTIME,1.25e-05,-0.00015454,2024-10-25 17:00:00.023000+00:00
KAS,1.25e-05,6.114e-05,2024-10-25 17:00:00.023000+00:00
ORBS,1.25e-05,0.00018495,2024-10-25 17:00:00.023000+00:00
BLUR,1.25e-05,-2.719e-05,2024-10-25 17:00:00.023000+00:00
TIA,-0.00010417,-0.00133335,2024-10-25 17:00:00.023000+00:00
BSV,1.25e-05,-0.00013452,2024-10-25 17:00:00.023000+00:00
